,Latitude,Longitude,City,Country,Temperature,Humidity,Cloudiness,Wind Speed
450,-57.41,-23.53,cidreira,br,34.16,95,88,23.87
451,38.53,-18.27,camacha,pt,60.62,99,68,13.8
452,32.2,-57.27,saint george,bm,75.02,100,0,1.57
453,-37.32,-47.78,chuy,uy,65.66,97,92,15.7
454,-41.19,148.04,launceston,au,49.82,100,56,5.82
455,-14.31,151.24,samarai,pg,79.07,100,80,20.69
456,-28.62,-82.49,coquimbo,cl,64.31,100,88,1.5
457,23.07,-148.16,hilo,us,74.21,100,36,15.82
458,58.44,145.26,okhotsk,ru,32.9,92,100,7.54
459,13.63,-163.25,nanakuli,us,80.51,99,8,15.88
460,63.35,8.95,kyrksaeterora,no,61.2,42,0,3.36
461,-31.04,-61.82,rafaela,ar,76.19,61,12,10.18
462,5.66,89.32,banda aceh,id,85.46,100,32,11.41
463,37.69,130.57,gotsu,jp,61.61,95,32,3.24
464,-35.12,-150.69,mataura,pf,63.05,100,80,24.2
465,-14.47,157.44,honiara,sb,79.16,100,76,18.16
466,-20.87,9.49,henties bay,na,68.27,100,0,21.41
467,-13.52,-86.82,huarmey,pe,69.71,100,0,13.87
468,21.76,131.86,nishihara,jp,82.49,99,0,5.26
469,-34.33,-31.16,arraial do cabo,br,62.33,100,92,5.3
470,66.59,-114.85,yellowknife,ca,33.35,100,92,4.74
471,-46.1,-179.44,vaini,to,49.19,100,36,39.08
472,-24.77,35.35,inhambane,mz,74.03,100,0,8.55
473,-61.17,6.52,hermanus,za,32.27,94,92,31.7
474,44.72,-43.86,torbay,ca,50.09,100,32,36.28
475,-29.2,-176.15,vaini,to,69.35,100,92,22.64
476,14.59,11.78,maine-soroa,ne,86.09,42,0,4.29
477,55.24,108.43,severobaykalsk,ru,32.0,83,0,2.06
478,-29.48,-131.28,rikitea,pf,68.27,100,88,10.18
479,-21.61,-150.01,moerai,pf,76.37,100,12,7.61
480,-31.26,174.07,kaeo,nz,64.85,100,12,21.47
481,-55.84,15.11,hermanus,za,35.6,90,92,28.63
482,55.58,156.73,sobolevo,ru,38.39,100,88,4.59
483,-4.1,-161.6,samusu,ws,81.68,100,92,16.71
484,38.66,-111.79,price,us,53.06,45,92,2.51
485,-35.51,-29.38,arraial do cabo,br,62.15,100,76,8.1
486,-33.22,6.72,luderitz,na,65.21,100,24,32.26
487,31.49,-93.35,natchitoches,us,87.28,49,40,6.93
488,-31.65,40.79,beloha,mg,67.73,100,36,25.95
489,-32.9,173.33,kaeo,nz,63.23,100,76,22.19
490,48.37,-21.13,praia da vitoria,pt,56.75,100,44,9.55
491,2.68,-108.9,ixtapa,mx,80.06,100,68,14.88
492,-46.04,25.74,kruisfontein,za,47.03,83,88,26.28
493,-8.21,43.24,mitsamiouli,km,81.23,99,68,17.38
494,-2.8,103.84,prabumulih,id,73.13,98,92,2.84
495,20.57,119.97,tungkang,tw,87.08,97,8,3.24
496,19.02,-37.59,ponta do sol,cv,72.32,100,92,20.07
497,47.04,91.46,ulaangom,mn,24.08,63,0,2.28
498,-66.54,-179.31,vaini,to,19.76,100,68,39.03
499,34.3,-44.35,torbay,ca,75.11,97,100,17.67
